"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U9";"SOIC-8_3.9x4.9mm_P1.27mm";1;"L78L05_SO8";;;
2;"SW7,SW8,SW2,SW4,SW6,SW3,SW9,SW1,SW5";"SW_PUSH_6mm";9;"SW_DIP_x01";;;
3;"C12,C5";"C_0805_2012Metric";2;"0.1uf";;;
4;"C6";"C_0805_2012Metric";1;"3.3uf";;;
5;"R1,R3,R2,R7,R6,R5,R8,R4";"R_0603_1608Metric";8;"10K";;;
6;"U1";"LQFP-32_7x7mm_P0.8mm";1;"STM32G031K8Tx";;;
7;"U11";"PinHeader_1x04_P2.54mm_Vertical";1;"~";;;
8;"C11,C10";"C_0805_2012Metric";2;"100nf";;;
9;"C1";"C_0805_2012Metric";1;"0.1Uf";;;
10;"U2";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";1;"LIS3DH";;;
11;"U13";"TSSOP-14_4.4x5mm_P0.65mm";1;"MCP2221AxST";;;
12;"U7,U6";"PinHeader_1x02_P2.54mm_Vertical";2;"~";;;
13;"C2";"C_0805_2012Metric";1;"10uf";;;
14;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
15;"U12";"PinHeader_1x05_P2.54mm_Vertical";1;"~";;;
16;"C9";"C_0805_2012Metric";1;"4.7uf";;;
17;"R10,R9";"R_0603_1608Metric";2;"10k";;;
18;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32Khz LSE";;;
19;"U5";"PinHeader_1x03_P2.54mm_Vertical";1;"~";;;
20;"C8,C7";"C_0805_2012Metric";2;"10pf";;;
21;"U10";"PinSocket_1x10_P2.54mm_Vertical";1;"~";;;
22;"U8";"SOT-23-5";1;"MIC5504-3.3YM5";;;
23;"C4,C3";"C_0805_2012Metric";2;"1uf";;;
